asin,reviewId,title,content,star
B07NY53YR8,R3PRFK1OTZS2QF,Can't beat this deal!,"Liked the ability to charge two phones while driving using the power outlet in my car. This, and the home charger with cable, are an added treat. Good quality and provides quick charging whether at home or in the car.",5
B077XQJ2FK,R2H5O5LZ0FI3B7,Great value. Works great,Better than I expected for the price well made and fast charging.,5
B084V4KHM1,R3JFZ539CX1QSM,Great Stand,"Works great for iPhone/AirPods/Apple Watch -- it does fold flat so you have to be careful with the kickstand coming out, but otherwise works quite well.",5
B09GTW6591,R1AIYXPOYT3DU9,Garbage,"I bought a 3 pack because I needed 2 and this was the cheapest way to do it. Unfortunately right out of the box one didn't work at all but I expected that from a cheap Amazon product. The reason for 1 star is because after a few weeks one of them stopped working through the USB A and the other stopped working through the USB C, both needed to work through both ports so now they're all in the garbage.",1
B07XJTT9WG,R3EFSRYJZ50SD6,Its fast charging.,Its great charged fast,5
B08FBDWZWR,R1F6YES24MQA50,Does work with Samsung watch,"I have a Samsung 3 frontier watch with oem band, no matter how I placed it, it would not complete a charge.",2
B07FBCYGFV,R27DJM3EP52JGG,Works well.,I use it for my multiple charging station and it works great.,5
B088D4CNHV,R3UJNGZXHQM0YP,Do not buy.,Horrid. Avoid at all costs. The chargers only last about 30 days before crapping out. I've gone through 4 in less than 6 months.,1
B07X32ZLM5,R1O5XWWXRDK1GM,"Works great, a little small for large phones","The charger works great on my note 10+, but it seems a little small. The phone has a case on it made by SUPCASE (unicorn beetle pro). The small ledge makes the phone a little wobbly to place on the charger with the case. Outside the case it is not so bad. The charger has no issues with plastic and rubber cases, Iphone 8 with a tpu shell, note9 with an otterbox defender, and a note10+ with the supcase all had no issues charging. The charger comes with its own usb A-C cable and a multi-voltage wall plug. The Usb cable is quite short. Build quality is quite nice. The charger has a little fan inside of it that is supposed to cool the charger and phones backplate. I dont notice any difference in phones warmth after charging. The fan is super quiet, but sounds really cheap. Mine makes odd noises, like plastic or something rubbing. Charges nice and fast tho. The charger has a nice finish and sturdy feeling build. The backplate the phone rests on is smooth-like, and not padded. The indicator light is too minimal for my taste.

TL;DR
Pro
Nice and sturdy, works very well.
Looks quite nice and simple

Cons
Dubious fan.
A little small for larger phones.

For the price it is a nice charger tho.",4
B07H2W3WS2,RGJRSSL3D3JRR,good product,these products meet my expectations.,5
B07L1KJV35,R2D69HJ8ZYTQPV,good,Everything you would expect for a good price,5
B07GZNVLN8,R30PVIXAIJ4YWS,Great Product,The product is really useful and compatible with any thing that has wireless charging. Love it and completely satisfied!,5
B09KZMN957,RDVM63WXES1P5,Largement en dessous du MagSafe original.,"Chauffe énormément mon iPhone 12 mini + le produit est lourd et pas ergonomique ... je l'ai vite renvoyé. Perte de temps, passez votre chemin.",1
B00846FO0I,R9PVEL5LR5FEP,right idea not worth the price.,Absolute rip off. Paid at least 3x more than I should have. I don’t care if this is a hot item. This is not worth $25.00.,1
B08JFTNJQX,R9SWN4GMU80X8,Perfect for apple,This charging station is exactly what we needed. No more cords all over the nightstand. Handles all three apple devices perfectly. Love being able to use my phone as a clock now in the upright position.,5
B08D34L2F8,R1XLESZPOJPJHS,Muy mala experiencia,"Muy mala experiencia, me permite cargar mi Apple Watch y AirPods Pro, pero cuando intento cargar mi iPhone 12 Pro Max con funda simplemente no carga, cuando otros cargadores inalámbricos con la misma funda si pueden cargarse.",2
B07L15S1DD,R2VJ5IHZDFSGGO,Mom loves it!,"Recently her phones charging port broke and was worried she would have to replace her phone.

This charger, holds and charges her thick case with ease! She loves it and it didn't break my wallet.",5
B09MFBD3MP,R3UB4NCLZC1X14,works,my other charger will not work on my fitbit,5
B07TK6MPNB,R1860NMCD5W7TU,Convenient to have,I needed a charger for a mini blender in the kitchen. Saved a few steps.,5
B09GF1YXHY,ROM82VL78TIJ5,Works great,Enough said,5
B09JZZVSFF,R1I57291D5CON4,Best charger I've ever owned. Hands down fastest highest quality charger for Samsung.,By far the fastest charger I've ever had. Very sturdy durable charger. It can charge my Note 10 from 5% to 100% in about 45-50 mins sometimes quicker. Its a little pricey for a charger but overall the power and quality make it well worth the price tag.,5
B09FKZ7M9M,R289Y9EFFF9MNP,Wireless charger,"This works as described. It can be tricky to get it on just right to charge, but no big deal. Charges my phone like it should.",4
B07J2KMP4X,R20SPNEPW2YPVZ,Great,Great,5
B07RP1XCZF,R3P7RM502BZE4A,Great Item,These work great better then other I had bought.,5
